Num,imageFile,,
1,stimuli_1_Kidneys.png,,
2,stimuli_2_Abandonment.png,,
3,stimuli_3_Bugs.png,,
4,stimuli_4_Menstruation.png,,
5,stimuli_5_Week.png,,
6,stimuli_6_Nutrition.png,,
7,stimuli_7_Shuttles.png,,
8,stimuli_8_Birth.png,,
9,stimuli_9_Giftcards.png,,
10,stimuli_10_Laundering.png,,
11,stimuli_11_Pyramid.png,,
12,stimuli_12_Vietnam.png,,
13,stimuli_13_Cash.png,,
14,stimuli_14_Signal.png,,
15,stimuli_15_Nuclear.png,,
16,stimuli_16_Disorders.png,,
17,stimuli_17_Swearing.png,,
18,stimuli_18_Citizenship.png,,
19,stimuli_19_CarPrices.png,,
20,stimuli_20_Radiation.png,,
21,stimuli_21_Cats.png,,
22,stimuli_22_Sunlight.png,,
23,stimuli_23_Birds.png,,
24,stimuli_24_Sky.png,,
25,stimuli_25_Balloons.png,,
26,stimuli_26_Time.png,,
27,stimuli_27_Onions.png,,
28,stimuli_28_Graying.png,,
29,stimuli_29_Goosebumps.png,,
30,stimuli_30_Papercut.png,,
31,stimuli_31_Yawning.png,,
32,stimuli_32_Brainfreeze.png,,
33,stimuli_33_Purring.png,,
34,stimuli_34_Metal.png,,
35,stimuli_35_Salt.png,,
36,stimuli_36_Appendix.png,,
37,stimuli_37_Gender.png,,
38,stimuli_38_WiFi.png,,
39,stimuli_39_Cookies.png,,
40,stimuli_40_Moon.png,,
41,stimuli_41_Advertising.png,,
42,stimuli_42_Voice.png,,
43,stimuli_43_Baseball.png,,
44,stimuli_44_Jam.png,,
45,stimuli_45_Language.png,,
46,stimuli_46_FPS.png,,
47,stimuli_47_Rome.png,,
48,stimuli_48_Housing.png,,
49,stimuli_49_Climate.png,,
50,stimuli_50_Regulations.png,,
51,stimuli_51_Earth.png,,
52,stimuli_52_Passkeys.png,,
53,stimuli_53_Alphabet.png,,
54,stimuli_54_Processed.png,,
55,stimuli_55_Capitalism.png,,
56,stimuli_56_Sun.png,,
57,stimuli_57_Eggs.png,,
58,stimuli_58_Pitch.png,,
59,stimuli_59_Timekeeping.png,,
60,stimuli_60_Footage.png,,
61,stimuli_61_Muslim.png,,
,,,
,,,
